Name,Selected Bibliography,Primary
Onodera Yuki,"Canon New Cosmos of Photography, ""Close Up: オノデラユキ、写真家ーINTERVIEW 写真新世紀[第43回公募]審査員 ( Close Up: Yuki Onodera, Photographer — INTERVIEW Judge of the 43rd Open Call for the New Cosmos of Photography ) https://global.canon/ja/newcosmos/closeup/yuki-onodera/",
Nakamura Haruko,,
Nakano Aiko,"Gallery Syrup, Aiko Nakano Official Website, http://www.wormwheel.com/gallerysyrup/profile.html",
Ogata Hidemi,,
Seino Yoshiko,,
Ara Taeko,,
Kanamori Mayu,,
Yoshitake Megumi,,
Tsutsumi Ako,,
Nakashima Hiromi,,
Yanagi Miwa,,
Hara Mikiko,,
Nomura Sakiko,,
,,
Kawauchi Rinko,"Kawauchi Rinko, ""Rinko Kawauchi contemplates the small mysteries of life,"" SFMOMA, https://www.sfmoma.org/watch/rinko-kawauchi-contemplates-small-mysteries-life/",
Kawauchi Rinko,"""Kawauchi Rinko Jimusho Shashinka Kawauchi Rinko,"" Yomiuri Jinbutsu Databse, Jul. 5, 2019.",
Kawauchi Rinko,"""Shashinka Kawauchi Rinko,"" Asahi Shimbun Jinbutsu Database, Jun. 22, 2018.",
Kawauchi Rinko,"""The Younger Generation: Contemporary Japanese Photography,"" http://www.getty.edu/art/exhibitions/younger_gen/younger_gen_gallery_text.pdf",
Nagashima Yurie,"<i>An Incomplete History: Women Photographers from Japan, 1984-1997</i> (exh. cat.). NY Visual Studies Workshop, 1998.",
Nagashima Yurie,"Nagashima Yurie. “Jibun no kachi o shinjiru shashinka Nagashima Yurie.” <i>Nihon Keizai Shimbun</i> , January 16, 2020.",
Nagashima Yurie,"Rossella Menegazzo, ""Japanese Contemporary Photography: Re-discovering Female Identity."" Women's Studies 43, no. 8 (2014): 1022-1038, https://doi.org/10.1080/00497878.2014.955703",
Nagashima Yurie,"<i>""Bokura"" no ""onna no ko shashin"" kara watashi no gaariifoto he</i> (From ""their"" ""Girls Photography"" to ""our"" ""girlie photography""). Tokyo: Daifuku shorin, 2020.",
Hiromix,"Gabriella Lukács, ""Disidentifications: Women, Photography, and Everyday Patriarchy,"" in <i>Invisibility by Design: Women and Labor in Japan's Digital Economy</i> (Durham; London: Duke University Press, 2020）",
Hiromix,"Shoji Kaori, ""Young Women Behind the Camera Craze in Tokyo,"" The New York Times, January 16, 1999, https://www.nytimes.com/1999/01/16/style/IHT-young-women-behind-the-camera-craze-in-tokyo.html",
Sawada Tomoko,"Rossella Menegazzo, ""Japanese Contemporary Photography: Re-discovering Female Identity."" <i>Women's Studies</i> 43, no. 8 (2014): 1022-1038, https://doi.org/10.1080/00497878.2014.955703.",
Sawada Tomoko,"Sawada Tomoko, ""Tomoko Sawada's self-portraits create familiar characters,"" SFMOMA, https://www.sfmoma.org/watch/tomoko-sawadas-self-portraits-create-familiar-characters/.",
Sawada Tomoko,"""Shashinka/ātisuto Seianzōkei daigaku kyakuin kyōju Sawada Tomoko."" Asahi Shinbun Jinbutsu Database, Oct. 9, 2018.",
Shimada Junko,"『野島康三とレディス・カメラ・クラブ : 特別陳列 』(Nojima Yasuzō and the Ladies Camera Club) (渋谷区立松濤美術館, 1993)",
Murai Yoneko,"『野島康三とレディス・カメラ・クラブ : 特別陳列 』(Nojima Yasuzō and the Ladies Camera Club) (渋谷区立松濤美術館, 1993)",
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
